"aec1307","Genesis Benedith","2024-12-07","final test cases","HEAD -> main, origin/main, origin/HEAD"
"a848ecd","Lauren Schroeder","2024-12-07","calendar test works","origin/comments/-refreshing"
"6633c12","Lauren Schroeder","2024-12-07","calecarConverter tests",""
"375ad8a","chelinaobiang","2024-12-07","Additional Test Cases","origin/notif/origin"
"395429e","chelinaobiang","2024-12-07","test cases",""
"c0c1b6f","Genesis Benedith","2024-12-07","new budget",""
"bf8f12e","Genesis Benedith","2024-12-07","Merge branch 'main' of https://github.com/genesisbenedith/financial-management-app",""
"274baef","Genesis Benedith","2024-12-07","comments",""
"eea97e9","Genesis Benedith","2024-12-07","file comments",""
"fd0002a","Genesis Benedith","2024-12-07","uml diagram",""
"0551f8d","chelinaobiang","2024-12-07","Fixed changes to budget.",""
"82d0895","Lauren Schroeder","2024-12-07","change to how totalExpenses text is retrieved",""
"64367ea","Lauren Schroeder","2024-12-07","more comments in controllers (i think the rest are good from what is in main now)",""
"485484f","Genesis Benedith","2024-12-07","comments to controllers",""
"4da6655","Genesis Benedith","2024-12-07","Merge branch 'main' of https://github.com/genesisbenedith/financial-management-app",""
"459b8e5","Genesis Benedith","2024-12-07","changes",""
"489de2b","Lauren Schroeder","2024-12-07","changes to refresh page",""
"30bc9ac","Lauren Schroeder","2024-12-07","comments added to dashboardController",""
"96a19b3","chelinaobiang","2024-12-07","branch",""
"f8e53a6","chelinaobiang","2024-12-07","Merge branch 'main' of https://github.com/genesisbenedith/financial-management-app",""
"47b178a","Genesis Benedith","2024-12-07","On feature/expense-tracker: !!GitHub_Desktop<feature/expense-tracker>","refs/stash"
"1b100dd","Genesis Benedith","2024-12-07","index on feature/expense-tracker: c1b57da slight fixes",""
"9fc26bc","chelinaobiang","2024-12-07","changes","origin/feature/budget-2, feature/budget-2"
"4fc7891","Genesis Benedith","2024-12-07","test cases",""
"3ced735","Lauren Schroeder","2024-12-07","comments for the expense controllers and refreshing implemented with fixes",""
"c1b57da","Lauren Schroeder","2024-12-07","slight fixes","origin/feature/expense-tracker, feature/expense-tracker"
"ab384bf","Genesis Benedith","2024-12-07","test cases",""
"ecc9968","Genesis Benedith","2024-12-07","Merge branch 'main' of https://github.com/genesisbenedith/financial-management-app",""
"3c351d4","Genesis Benedith","2024-12-07","file download works now",""
"91787b6","Genesis Benedith","2024-12-07","Rename video1516422962.mp4 to demo-part1.mp4",""
"e839280","Genesis Benedith","2024-12-07","demo video part 1",""
"d8d5952","Genesis Benedith","2024-12-07","final changes",""
"d620f27","Genesis Benedith","2024-12-07","final changes","origin/feature/dashboard-ui-2, feature/dashboard-ui-2"
"01541f1","Genesis Benedith","2024-12-07","Update README.md",""
"9e50089","Genesis Benedith","2024-12-07","Update README.md",""
"a05f123","Genesis Benedith","2024-12-07","main",""
"346bc15","Genesis Benedith","2024-12-07","Squashed commit of the following:",""
"a371009","Genesis Benedith","2024-12-07","class",""
"c0538a4","chelinaobiang","2024-12-06","h",""
"f41786b","Genesis Benedith","2024-12-06","Update README.md",""
"1e67c88","Genesis Benedith","2024-12-06","Update README.md",""
"b8e540e","chelinaobiang","2024-12-06","Worked on budget alert",""
"403fdef","chelinaobiang","2024-12-06","yes",""
"82f821e","Genesis Benedith","2024-12-06","changes",""
"10eb464","chelinaobiang","2024-12-06","tried header",""
"57c724d","Genesis Benedith","2024-12-06","dashboard",""
"6e4a455","Lauren Schroeder","2024-12-06","more fixes",""
"a3152b5","Lauren Schroeder","2024-12-06","Merge branch 'feature/expense-tracker' of https://github.com/genesisbenedith/financial-management-app into feature/expense-tracker",""
"3016722","Lauren Schroeder","2024-12-06","something got messed up",""
"1712b4e","Genesis Benedith","2024-12-06","dashboard and sidebar changes",""
"5d7b777","chelinaobiang","2024-12-06","Added comments and worked on suppress warnings.",""
"e9f2c0e","chelinaobiang","2024-12-06","Update Budget.class",""
"7382a71","chelinaobiang","2024-12-06","merged with old branch",""
"fb502bd","chelinaobiang","2024-12-06","Merge branch 'new-test/feature' into feature/budget-2",""
"f18af4e","chelinaobiang","2024-12-06","ok",""
"07b8809","chelinaobiang","2024-12-06","new branch with updates",""
"5b3b066","chelinaobiang","2024-12-06","ok",""
"99a135e","chelinaobiang","2024-12-06","chnaged files",""
"5977d43","chelinaobiang","2024-12-06","merge changes","origin/new/merge-1"
"7c1ba3e","chelinaobiang","2024-12-06","Update DashboardController.class","origin/new-test/feature, new-test/feature"
"74c918f","Lauren Schroeder","2024-12-06","View and controller implementation",""
"e167f08","chelinaobiang","2024-12-06","removed demos",""
"f13f429","chelinaobiang","2024-12-06","Attempted notifications",""
"0b32861","Lauren Schroeder","2024-12-06","class files",""
"8c7e314","Lauren Schroeder","2024-12-06","changes to expense controller",""
"f0b9d65","Genesis Benedith","2024-12-06","Merge branch 'feature/dashboard-ui-2' of https://github.com/genesisbenedith/financial-management-app into feature/dashboard-ui-2",""
"889557f","Genesis Benedith","2024-12-06","dashbord charts",""
